Table Name(1),State Code (2),District Code(3),Tehsil Code  (4),Town  Code (5),Area Name (6),Total/ Rural/ Urban(7),Total number of households (8),Total number of households availing banking services  (9),"Availability of assets Radio/
Transistor (10)",Availability of assets Television (11),Availability of assets Computer/Laptop With Internet (12),Availability of assets Computer/Laptop Without Internet (13),Availability of assets Telephone/Mobile PhoneLandline only (14),Availability of assets Telephone/Mobile Phone Mobile only (15),Availability of assets Telephone/Mobile Phone Both (16),Availability of assets Bicycle (17),Availability of assets Scooter/ Motorcycle/Moped (18),Availability of assets Car/ Jeep/Van (19),"Availability of assets Households with TV, Computer/Laptop, Telephone/mobile phone and Scooter/ Car (20)",Availability of assets None of the assets specified in col.(21),,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,005,00019,000000,Sub-District - Surankote,Urban,1426,1259,828,841,18,61,44,820,187,33,98,150,19,138,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,005,00019,800063,Surankote (MC),Urban,1426,1259,828,841,18,61,44,820,187,33,98,150,19,138,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,006,00000,000000,District - Rajouri,Total,124000,80565,48002,34209,673,5546,2542,60010,3017,2203,7261,3128,902,37779,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,006,00000,000000,District - Rajouri,Rural,117183,74308,45236,28723,387,4844,2182,54970,2223,1539,5383,2048,423,37489,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,006,00000,000000,District - Rajouri,Urban,6817,6257,2766,5486,286,702,360,5040,794,664,1878,1080,479,290,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,006,00020,000000,Sub-District - Thanamandi,Total,13406,6874,6361,2585,61,777,217,6439,280,108,395,304,75,4205,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,006,00020,000000,Sub-District - Thanamandi,Rural,12509,6033,5812,2128,40,646,163,5807,251,83,329,248,52,4114,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,006,00020,000000,Sub-District - Thanamandi,Urban,897,841,549,457,21,131,54,632,29,25,66,56,23,91,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,006,00020,800064,Thanamandi (MC),Urban,897,841,549,457,21,131,54,632,29,25,66,56,23,91,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,006,00021,000000,Sub-District - Darhal,Total,7588,3788,3558,1532,26,424,122,3143,78,32,231,174,16,2526,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,006,00021,000000,Sub-District - Darhal,Rural,7588,3788,3558,1532,26,424,122,3143,78,32,231,174,16,2526,,,,,,,,,,,,,,,,,,,,,,,,,,,
